SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
PEN	12S	SRR7106552	SAMN09058611	PRJNA454866
LLG	12S	SRR7106553	SAMN09058606	PRJNA454866
MAP	12S	SRR7106554	SAMN09058607	PRJNA454866
CAM	12S	SRR7106555	SAMN09058602	PRJNA454866
PAD	12S	SRR7106556	SAMN09058610	PRJNA454866
CWE	12S	SRR7106557	SAMN09058603	PRJNA454866
BET	12S	SRR7106558	SAMN09058600	PRJNA454866
OSS	12S	SRR7106559	SAMN09058608	PRJNA454866
FEN	12S	SRR7106560	SAMN09058604	PRJNA454866
WLF	12S	SRR7106561	SAMN09058612	PRJNA454866
TRA	12S	SRR7106562	SAMN09058613	PRJNA454866
OGW	12S	SRR7106563	SAMN09058609	PRJNA454866
KEN	12S	SRR7106564	SAMN09058605	PRJNA454866
LLB	12S	SRR7106565	SAMN09058601	PRJNA454866
