SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
BET01	Cytb	SRR7108885	SAMN09059971	PRJNA454866
BET02	Cytb	SRR7108884	SAMN09059972	PRJNA454866
BET03	Cytb	SRR7108635	SAMN09059973	PRJNA454866
BET04	Cytb	SRR7108634	SAMN09059974	PRJNA454866
BET05	Cytb	SRR7108797	SAMN09059975	PRJNA454866
BET06	Cytb	SRR7108637	SAMN09059976	PRJNA454866
BET07	Cytb	SRR7108649	SAMN09059977	PRJNA454866
BET08	Cytb	SRR7108646	SAMN09059978	PRJNA454866
BET09	Cytb	SRR7108857	SAMN09059979	PRJNA454866
BET10	Cytb	SRR7108856	SAMN09059980	PRJNA454866
BET11	Cytb	SRR7108641	SAMN09059981	PRJNA454866
BET12	Cytb	SRR7108640	SAMN09059982	PRJNA454866
BET13	Cytb	SRR7108639	SAMN09059983	PRJNA454866
BET14	Cytb	SRR7108638	SAMN09059984	PRJNA454866
BET15	Cytb	SRR7108645	SAMN09059985	PRJNA454866
BET16	Cytb	SRR7108644	SAMN09059986	PRJNA454866
BET17	Cytb	SRR7108643	SAMN09059987	PRJNA454866
BET18	Cytb	SRR7108642	SAMN09059988	PRJNA454866
BET19	Cytb	SRR7108648	SAMN09059989	PRJNA454866
BET20	Cytb	SRR7108647	SAMN09059990	PRJNA454866
CAM01	Cytb	SRR7108715	SAMN09060001	PRJNA454866
CAM02	Cytb	SRR7108714	SAMN09060002	PRJNA454866
CAM03	Cytb	SRR7108717	SAMN09060003	PRJNA454866
CAM04	Cytb	SRR7108716	SAMN09060004	PRJNA454866
CAM05	Cytb	SRR7108719	SAMN09060005	PRJNA454866
CAM06	Cytb	SRR7108718	SAMN09060006	PRJNA454866
CAM07	Cytb	SRR7108721	SAMN09060007	PRJNA454866
CAM08	Cytb	SRR7108720	SAMN09060008	PRJNA454866
CAM09	Cytb	SRR7108713	SAMN09060009	PRJNA454866
CAM10	Cytb	SRR7108712	SAMN09060010	PRJNA454866
CAM11	Cytb	SRR7108794	SAMN09060011	PRJNA454866
CAM12	Cytb	SRR7108795	SAMN09060012	PRJNA454866
CAM13	Cytb	SRR7108796	SAMN09060013	PRJNA454866
CAM14	Cytb	SRR7108774	SAMN09060014	PRJNA454866
CAM15	Cytb	SRR7108798	SAMN09060015	PRJNA454866
CAM16	Cytb	SRR7108799	SAMN09060016	PRJNA454866
CAM17	Cytb	SRR7108800	SAMN09060017	PRJNA454866
CAM18	Cytb	SRR7108801	SAMN09060018	PRJNA454866
CAM19	Cytb	SRR7108791	SAMN09060019	PRJNA454866
CAM20	Cytb	SRR7108792	SAMN09060020	PRJNA454866
CWE01	Cytb	SRR7108777	SAMN09060021	PRJNA454866
CWE02	Cytb	SRR7108776	SAMN09060022	PRJNA454866
CWE03	Cytb	SRR7108775	SAMN09060023	PRJNA454866
CWE04	Cytb	SRR7108723	SAMN09060024	PRJNA454866
CWE05	Cytb	SRR7108773	SAMN09060025	PRJNA454866
CWE06	Cytb	SRR7108772	SAMN09060026	PRJNA454866
CWE07	Cytb	SRR7108771	SAMN09060027	PRJNA454866
CWE08	Cytb	SRR7108770	SAMN09060028	PRJNA454866
CWE09	Cytb	SRR7108769	SAMN09060029	PRJNA454866
CWE10	Cytb	SRR7108768	SAMN09060030	PRJNA454866
CWE11	Cytb	SRR7108864	SAMN09060031	PRJNA454866
CWE12	Cytb	SRR7108865	SAMN09060032	PRJNA454866
CWE13	Cytb	SRR7108862	SAMN09060033	PRJNA454866
CWE14	Cytb	SRR7108863	SAMN09060034	PRJNA454866
CWE15	Cytb	SRR7108860	SAMN09060035	PRJNA454866
CWE16	Cytb	SRR7108861	SAMN09060036	PRJNA454866
CWE17	Cytb	SRR7108858	SAMN09060037	PRJNA454866
CWE18	Cytb	SRR7108859	SAMN09060038	PRJNA454866
