Lake,Species,Ex_Presence,Ind_abu,Bio_den
Betley_Mere,Abramis_brama,5,431.9,39.04
Betley_Mere,Carassius_carassius,1,,
Betley_Mere,Cottus_gobio,1,,
Betley_Mere,Cyprinus_carpio,5,43.19,70.47
Betley_Mere,Esox_lucius,5,43.19,72.45
Betley_Mere,Gasterosteus_aculeatus,1,,
Betley_Mere,Gobio_gobio,-1,,
Betley_Mere,Perca_fluviatilis,5,237.54,3.64
Betley_Mere,Pseudorasbora_parva,-1,,
Betley_Mere,Rutilus_rutilus,5,712.63,1.72
Betley_Mere,Salmo_trutta,1,,
Betley_Mere,Tinca_tinca,5,86.38,137.41
Chapel_Mere,Abramis_brama,1,,
Chapel_Mere,Cyprinus_carpio,1,,
Chapel_Mere,Esox_lucius,5,48.35,67.91
Chapel_Mere,Gasterosteus_aculeatus,1,,
Chapel_Mere,Perca_fluviatilis,5,1273.32,7.53
Chapel_Mere,Scardinius_erythrophthalmus,-1,,
Chapel_Mere,Tinca_tinca,5,322.36,6.16
Fenemere,Abramis_brama,5,10.57,11.63
Fenemere,Anguilla_anguilla,5,5.57,3.9
Fenemere,Cyprinus_carpio,5,20.99,83.94
Fenemere,Esox_lucius,5,41.97,21.6
Fenemere,Gasterosteus_aculeatus,5,21.51,1
Fenemere,Perca_fluviatilis,5,8795.86,25.2
Fenemere,Rutilus_rutilus,5,1655.62,19.79
Fenemere,Scardinius_erythrophthalmus,5,234.47,3.29
Fenemere,Tinca_tinca,1,,
Maer_Pool,Abramis_brama,1,,
Maer_Pool,Cyprinus_carpio,5,106.21,10.56
Maer_Pool,Esox_lucius,5,18.01,22.43
Maer_Pool,Perca_fluviatilis,5,1202.48,24.7
Maer_Pool,Rutilus_rutilus,-1,,
Maer_Pool,Tinca_tinca,5,4188.83,44.96
Oss_Mere,Abramis_brama,5,569.04,9.51
Oss_Mere,Cyprinus_carpio,5,3811.34,65.96
Oss_Mere,Esox_lucius,5,21.77,21.77
Oss_Mere,Gobio_gobio,1,,
Oss_Mere,Perca_fluviatilis,5,2007.33,9.83
Oss_Mere,Phoxinus_phoxinus,-1,,
Oss_Mere,Rutilus_rutilus,5,5833.44,18.99
Oss_Mere,Scardinius_erythrophthalmus,5,777.11,2.37
Oss_Mere,Tinca_tinca,5,3769.32,9.97
Watch_Lane_Flash,Abramis_brama,5,525.31,81.76
Watch_Lane_Flash,Anguilla_anguilla,1,,
Watch_Lane_Flash,Cyprinus_carpio,5,7.9,44.8
Watch_Lane_Flash,Esox_lucius,5,6.58,16.45
Watch_Lane_Flash,Gasterosteus_aculeatus,1,,
Watch_Lane_Flash,Gobio_gobio,5,539.48,6.2
Watch_Lane_Flash,Leucaspius_delineatus,5,1899.41,3.93
Watch_Lane_Flash,Perca_fluviatilis,5,1955.05,9.28
Watch_Lane_Flash,Rhodeus_amarus,1,,
Watch_Lane_Flash,Rutilus_rutilus,5,487.38,16.91
Watch_Lane_Flash,Squalius_cephalus,-1,,
Watch_Lane_Flash,Tinca_tinca,1,,
