Lake,Species,Ex_Presence,Ex_DAFOR
Kenfig_Pool,Alburnus_alburnus,-1,0
Kenfig_Pool,Anguilla_anguilla,5,4
Kenfig_Pool,Cottus_gobio,-1,0
Kenfig_Pool,Esox_lucius,5,3
Kenfig_Pool,Leuciscus_idus,-1,0
Kenfig_Pool,Perca_fluviatilis,5,5
Kenfig_Pool,Pungitius_pungitius,1,1
Kenfig_Pool,Rutilus_rutilus,1,1
Kenfig_Pool,Scardinius_erythrophthalmus,5,4
Kenfig_Pool,Tinca_tinca,5,2
Llan_Bwch-llyn,Abramis_brama,3,1
Llan_Bwch-llyn,Esox_lucius,5,2
Llan_Bwch-llyn,Perca_fluviatilis,5,2
Llan_Bwch-llyn,Rutilus_rutilus,5,2
Llangorse_Lake,Abramis_brama,5,2
Llangorse_Lake,Anguilla_anguilla,5,3
Llangorse_Lake,Cottus_gobio,1,1
Llangorse_Lake,Esox_lucius,5,3
Llangorse_Lake,Perca_fluviatilis,5,5
Llangorse_Lake,Rutilus_rutilus,5,2
Llangorse_Lake,Scardinius_erythrophthalmus,5,2
Llangorse_Lake,Tinca_tinca,5,2
Llyn_Cwellyn,Anguilla_anguilla,5,2
Llyn_Cwellyn,Perca_fluviatilis,-1,0
Llyn_Cwellyn,Phoxinus_phoxinus,5,3
Llyn_Cwellyn,Rutilus_rutilus,-1,0
Llyn_Cwellyn,Salmo_salar,5,2
Llyn_Cwellyn,Salmo_trutta,5,4
Llyn_Cwellyn,Salvelinus_alpinus,5,5
Llyn_Ogwen,Abramis_brama,-1,0
Llyn_Ogwen,Alburnus_alburnus,-1,0
Llyn_Ogwen,Anguilla_anguilla,1,1
Llyn_Ogwen,Cottus_gobio,-1,0
Llyn_Ogwen,Oncorhynchus_mykiss,5,4
Llyn_Ogwen,Perca_fluviatilis,-1,0
Llyn_Ogwen,Phoxinus_phoxinus,5,4
Llyn_Ogwen,Salmo_trutta,5,4
Llyn_Padarn,Anguilla_anguilla,5,4
Llyn_Padarn,Carassius_auratus,-1,0
Llyn_Padarn,Gasterosteus_aculeatus,5,4
Llyn_Padarn,Gobio_gobio,-1,0
Llyn_Padarn,Perca_fluviatilis,3,1
Llyn_Padarn,Phoxinus_phoxinus,5,4
Llyn_Padarn,Salmo_salar,5,2
Llyn_Padarn,Salmo_trutta,5,5
Llyn_Padarn,Salvelinus_alpinus,5,2
Llyn_Penrhyn,Anguilla_anguilla,5,5
Llyn_Penrhyn,Esox_lucius,-1,0
Llyn_Penrhyn,Gasterosteus_aculeatus,5,1
Llyn_Penrhyn,Perca_fluviatilis,5,4
Llyn_Penrhyn,Pungitius_pungitius,1,1
Llyn_Penrhyn,Rutilus_rutilus,5,2
Llyn_Penrhyn,Salmo_trutta,1,1
Llyn_Penrhyn,Scardinius_erythrophthalmus,5,2
Llyn_Penrhyn,Tinca_tinca,5,2
Llyn_Traffwll,Anguilla_anguilla,5,5
Llyn_Traffwll,Cottus_gobio,-1,0
Llyn_Traffwll,Gasterosteus_aculeatus,5,2
Llyn_Traffwll,Perca_fluviatilis,-1,0
Llyn_Traffwll,Pungitius_pungitius,1,1
Llyn_Traffwll,Rutilus_rutilus,5,2
Llyn_Traffwll,Salmo_trutta,1,1
Llyn_Traffwll,Scardinius_erythrophthalmus,1,1
